CardName,CardType,Description
Option Token," Token  Machine","This card can be used as an ""Option Token"". *If used for another Token, apply that Token's Type/Attribute/Level/ATK/DEF."
Summoned Skull," Normal Monster  Fiend  2500  1200","A fiend with dark powers for confusing the enemy. Among the Fiend-Type monsters, this monster boasts considerable force. (This card is always treated as an ""Archfiend"" card.)"
Aqua Madoor," Normal Monster  Spellcaster  1200  2000",A wizard of the waters that conjures a liquid wall to crush any enemies that oppose him.
Armaill," Normal Monster  Warrior  700  1300",A strange warrior who manipulates three deadly blades with both hands and his tail.
Armed Ninja," Flip Effect Monster  Warrior  300  300","FLIP: Target 1 Spell Card on the field; destroy that target. (If the target is Set, reveal it, and destroy it if it is a Spell Card. Otherwise, return it to its original position.)"
Armored Starfish," Normal Monster  Aqua  850  1400",A bluish starfish with a solid hide capable of fending off attacks.
Basic Insect," Normal Monster  Insect  500  700","Usually found traveling in swarms, this creature's ideal environment is the forest."
Beast Fangs," Spell Card  Equip",A Beast-Type monster equipped with this card increases its ATK and DEF by 300 points.
Beaver Warrior," Normal Monster  Beast-Warrior  1200  1500",What this creature lacks in size it makes up for in defense when battling in the prairie.
Blue-Eyes White Dragon," Normal Monster  Dragon  3000  2500","This legendary dragon is a powerful engine of destruction. Virtually invincible, very few have faced this awesome creature and lived to tell the tale."
Book of Secret Arts," Spell Card  Equip",A Spellcaster-Type monster equipped with this card increases its ATK and DEF by 300 points.
Celtic Guardian," Normal Monster  Warrior  1400  1200","An elf who learned to wield a sword, he baffles enemies with lightning-swift attacks."
Charubin the Fire Knight," Fusion Monster  Pyro  1100  800","""Monster Egg"" + ""Hinotama Soul"""
Curse of Dragon," Normal Monster  Dragon  2000  1500",A wicked dragon that taps into dark forces to execute a powerful attack.
Dark Energy," Spell Card  Equip",Increase the ATK and DEF of a Fiend-Type monster equipped with this card by 300 points.
Dark Gray," Normal Monster  Beast  800  900","Entirely gray, this beast has rarely been seen by mortal eyes."
Dark Hole," Spell Card  Normal",Destroy all monsters on the field.
Dark King of the Abyss," Normal Monster  Fiend  1200  800",It's said that this King of the Netherworld once had the power to rule over the dark.
Dark Magician," Normal Monster  Spellcaster  2500  2100",''The ultimate wizard in terms of attack and defense.''
Darkfire Dragon," Fusion Monster  Dragon  1500  1250","""Firegrass"" + ""Petit Dragon"""
Darkworld Thorns," Normal Monster  Plant  1200  900",A thorny plant found in the darklands that wraps itself around any unwary traveler.
Dissolverock," Normal Monster  Rock  900  1000","A monster born in the lava pits, it generates intense heat that can melt away its enemies."
Dragon Capture Jar," Trap Card  Continuous","Change all face-up Dragon-Type monsters on the field to Defense Position, also they cannot change their battle positions."
Dragon Treasure," Spell Card  Equip",A Dragon-Type monster equipped with this card increases its ATK and DEF by 300 points.
Dragoness the Wicked Knight," Fusion Monster  Warrior  1200  900","""Armaill"" + ""One-Eyed Shield Dragon"""
Drooling Lizard," Normal Monster  Reptile  900  800",A blood-sucking snake in human form that attacks any living being that passes nearby.
Electro-Whip," Spell Card  Equip",Increase the ATK and DEF of a Thunder-Type monster equipped with this card by 300 points.
Enchanting Mermaid," Normal Monster  Fish  1200  900",A beautiful mermaid that lures voyagers to a watery grave.
Exodia the Forbidden One," Effect Monster  Spellcaster  1000  1000","If you have ""Right Leg of the Forbidden One"", ""Left Leg of the Forbidden One"", ""Right Arm of the Forbidden One"" and ""Left Arm of the Forbidden One"" in addition to this card in your hand, you win the Duel."
Fiend Reflection #2," Normal Monster  Winged Beast  1100  1400",A bird-beast that summons reinforcements with a hand mirror.
Final Flame," Spell Card  Normal",Inflict 600 points of damage to your opponent's Life Points.
Firegrass," Normal Monster  Plant  700  600",A fire-breathing plant found growing near volcanoes.
Fireyarou," Normal Monster  Pyro  1300  1000",A malevolent creature wrapped in flames that attacks enemies with intense fire.
Fissure," Spell Card  Normal","Destroy the 1 face-up monster your opponent controls that has the lowest ATK (your choice, if tied)."
Flame Ghost," Fusion Monster  Zombie  1000  800","""Skull Servant"" + ""Dissolverock"""
Flame Manipulator," Normal Monster  Spellcaster  900  1000","This Spellcaster attacks enemies with fire-related spells such as ""Sea of Flames"" and ""Wall of Fire""."
Flame Swordsman," Fusion Monster  Warrior  1800  1600","""Flame Manipulator"" + ""Masaki the Legendary Swordsman"""
Flower Wolf," Fusion Monster  Beast  1800  1400","""Silver Fang"" + ""Darkworld Thorns"""
Follow Wind," Spell Card  Equip",Increase the ATK and DEF of a Winged Beast-Type monster equipped with this card by 300 points.
Forest," Spell Card  Field","All Insect, Beast, Plant, and Beast-Warrior monsters on the field gain 200 ATK/DEF."
Frenzied Panda," Normal Monster  Beast  1200  1000",A savage beast that carries a big bamboo stick for beating down its enemies.
Fusionist," Fusion Monster  Beast  900  700","""Petit Angel"" + ""Mystical Sheep #2"""
Gaia the Dragon Champion," Fusion Monster  Dragon  2600  2100","""Gaia The Fierce Knight"" + ""Curse of Dragon"""
Gaia The Fierce Knight," Normal Monster  Warrior  2300  2100",A knight whose horse travels faster than the wind. His battle-charge is a force to be reckoned with.
Giant Soldier of Stone," Normal Monster  Rock  1300  2000",A giant warrior made of stone. A punch from this creature has earth-shaking results.
Goblin's Secret Remedy," Spell Card  Normal",Increase your Life Points by 600 points.
Gravedigger Ghoul," Spell Card  Normal",Select up to 2 Monster Card(s) from your opponent's Graveyard. Remove the selected card(s) from play.
Green Phantom King," Normal Monster  Plant  500  1600","This youthful king of the forests lives in a green world, abundant with trees and wildlife."
Hane-Hane," Flip Effect Monster  Beast  450  500",FLIP: Select 1 monster on the field and return it to its owner's hand.
Hard Armor," Normal Monster  Warrior  300  1200",A living suit of armor that attacks enemies with a bone-jarring tackle.
Hinotama," Spell Card  Normal",Inflict 500 damage to your opponent.
Hinotama Soul," Normal Monster  Pyro  600  500",An intensely hot flame creature that rams anything standing in its way.
Hitotsu-Me Giant," Normal Monster  Beast-Warrior  1200  1000","A one-eyed behemoth with thick, powerful arms made for delivering punishing blows."
Kagemusha of the Blue Flame," Normal Monster  Warrior  800  400","Serving as a double for the Ruler of the Blue Flame, he's a master swordsman that wields a fine blade."
Karbonala Warrior," Fusion Monster  Warrior  1500  1200","""M-Warrior #1"" + ""M-Warrior #2"""
King Fog," Normal Monster  Fiend  1000  900",A fiend that dwells in a blinding curtain of smoke.
Kumootoko," Normal Monster  Insect  700  1400","A massive, intelligent spider that traps enemies with webbing."
Kurama," Normal Monster  Winged Beast  800  800",A vicious bird that attacks from the skies with its whip-like tail.
Larvas," Normal Monster  Beast  800  1000","A fast-moving, bird-like creature that strangles opposing monsters with its long, thin arms."
Laser Cannon Armor," Spell Card  Equip",Equip only to an Insect monster. It gains 300 ATK/DEF.
Left Arm of the Forbidden One," Normal Monster  Spellcaster  200  300",A forbidden left arm sealed by magic. Whosoever breaks this seal will know infinite power.
Left Leg of the Forbidden One," Normal Monster  Spellcaster  200  300",A forbidden left leg sealed by magic. Whosoever breaks this seal will know infinite power.
Legendary Sword," Spell Card  Equip",Equip only to a Warrior monster. It gains 300 ATK/DEF.
Lesser Dragon," Normal Monster  Dragon  1200  1000",A minor dragon incapable of breathing fire.
M-Warrior #1," Normal Monster  Warrior  1000  500","Specializing in combination attacks, this warrior uses magnetism to block an enemy's escape."
M-Warrior #2," Normal Monster  Warrior  500  1000","Specializing in combination attacks, this warrior is equipped with a tough, magnetically coated armor."
Machine Conversion Factory," Spell Card  Equip",Equip only to a Machine monster. It gains 300 ATK/DEF.
Mammoth Graveyard," Normal Monster  Dinosaur  1200  800",A mammoth that protects the graves of its pack and is absolutely merciless when facing grave-robbers.
Man Eater," Normal Monster  Plant  800  600",Man-eating plant with poison feelers for attacking enemies.
Man-Eater Bug," Flip Effect Monster  Insect  450  600",FLIP: Target 1 monster on the field; destroy it.
Masaki the Legendary Swordsman," Normal Monster  Warrior  1100  1100",Legendary swordmaster Masaki is a veteran of over 100 battles.
Meda Bat," Normal Monster  Fiend  800  400","An eyeball fiend created by a servant of the wicked, it uses ""Dark Blasts"" to blow away its enemies."
Metal Dragon," Fusion Monster  Machine  1850  1700","""Steel Ogre Grotto #1"" + ""Lesser Dragon"""
Misairuzame," Normal Monster  Fish  1400  1600",A missile-launching fish protected by deadly spikes.
Monster Egg," Normal Monster  Warrior  600  900",A warrior hidden within an egg that attacks enemies by flinging eggshells.
Monster Reborn," Spell Card  Normal",Target 1 monster in either GY; Special Summon it.
Mountain," Spell Card  Field","All Dragon, Winged Beast, and Thunder monsters on the field gain 200 ATK/DEF."
Mystical Elf," Normal Monster  Spellcaster  800  2000","A delicate elf that lacks offense, but has a terrific defense backed by mystical power."
Mystical Moon," Spell Card  Equip",Equip only to a Beast-Warrior-Type monster. It gains 300 ATK and DEF.
Mystical Sheep #2," Normal Monster  Beast  800  1000",A monstrous sheep with a long tail for hypnotizing enemies.
Nemuriko," Normal Monster  Spellcaster  800  700",A child-like creature that controls a sleep fiend to beckon enemies into eternal slumber.
One-Eyed Shield Dragon," Normal Monster  Dragon  700  1300","This dragon wears a shield not only for its own protection, but also for ramming its enemies."
Petit Angel," Normal Monster  Fairy  600  900",A quick-moving and tiny fairy that's very difficult to hit.
Petit Dragon," Normal Monster  Dragon  600  700",A very small dragon known for its vicious attacks.
Polymerization," Spell Card  Normal","Fusion Summon 1 Fusion Monster from your Extra Deck, using monsters from your hand or field as Fusion Material."
Pot of Greed," Spell Card  Normal",Draw 2 cards.
Power of Kaishin," Spell Card  Equip",Equip only to an Aqua monster. It gains 300 ATK/DEF.
Raigeki," Spell Card  Normal",Destroy all monsters your opponent controls.
Raise Body Heat," Spell Card  Equip",Equip only to a Dinosaur monster. It gains 300 ATK/DEF.
Ray & Temperature," Normal Monster  Fairy  1000  1000",The Sun and the North Wind join hands to deliver a devastating combination of heat and gale-force winds.
Reaper of the Cards," Flip Effect Monster  Fiend  1380  1930","FLIP: Select 1 Trap Card on the field and destroy it. If the selected card is Set, pick up and see the card. If it is a Trap Card, it is destroyed. If it is a Spell Card, return it to its original position."
Red Medicine," Spell Card  Normal",Increase your Life Points by 500 points.
Red-Eyes Black Dragon," Normal Monster  Dragon  2400  2000",''A ferocious dragon with a deadly attack.''
Remove Trap," Spell Card  Normal",Select 1 face-up Trap Card on the field and destroy it.
Right Arm of the Forbidden One," Normal Monster  Spellcaster  200  300",A forbidden right arm sealed by magic. Whosoever breaks this seal will know infinite power.
Right Leg of the Forbidden One," Normal Monster  Spellcaster  200  300",A forbidden right leg sealed by magic. Whosoever breaks this seal will know infinite power.
Root Water," Normal Monster  Fish  900  800",An amphibian capable of calling up a massive tidal wave from the dark seas to wipe out enemy monsters.
Sand Stone," Normal Monster  Rock  1300  1600","Appears from underground and attacks with long, snake-like tentacles."
Silver Bow and Arrow," Spell Card  Equip",A Fairy-Type monster equipped with this card increases its ATK and DEF by 300 points.
Silver Fang," Normal Monster  Beast  1200  800","A snow wolf that's beautiful to the eye, but absolutely vicious in battle."
Skull Red Bird," Normal Monster  Winged Beast  1550  1200",This monster swoops down and attacks with a rain of knives stored in its wings.
Skull Servant," Normal Monster  Zombie  300  200",A skeletal ghost that isn't strong but can mean trouble in large numbers.
Sogen," Spell Card  Field",All Warrior and Beast-Warrior monsters on the field gain 200 ATK/DEF.
Sparks," Spell Card  Normal",Inflict 200 points of damage to your opponent's Life Points.
Spike Seadra," Normal Monster  Sea Serpent  1600  1300","Using the spikes sprouting from its body, this creature stabs its opponents and floods them with electricity."
Spirit of the Harp," Normal Monster  Fairy  800  2000",A spirit that soothes the soul with the music of its heavenly harp.
Steel Ogre Grotto #1," Normal Monster  Machine  1400  1800",A steel idol worshipped in the Land of Machines.
Stop Defense," Spell Card  Normal",Select 1 Defense Position monster on your opponent's side of the field and change it to Attack Position.
Succubus Knight," Normal Monster  Warrior  1650  1300",A warrior wizard adept in casting bone-chilling spells.
Swords of Revealing Light," Spell Card  Normal","After this card's activation, it remains on the field, but you must destroy it during the End Phase of your opponent's 3rd turn. When this card is activated: If your opponent controls a face-down monster, flip all monsters they control face-up. While this card is face-up on the field, your opponent's monsters cannot declare an attack."
Terra the Terrible," Normal Monster  Fiend  1200  1300","Known as a swamp dweller, this creature is a minion of the dark forces."
The 13th Grave," Normal Monster  Zombie  1200  900",A zombie that suddenly appeared from plot #13 - an empty grave.
The Furious Sea King," Normal Monster  Aqua  800  700","Grand King of the Seven Seas, he's able to summon massive tidal waves to drown the enemy."
Trap Hole," Trap Card  Normal",When your opponent Normal or Flip Summons 1 monster with 1000 or more ATK: Target that monster; destroy that target.
Tri-Horned Dragon," Normal Monster  Dragon  2850  2350",An unworthy dragon with three sharp horns sprouting from its head.
Trial of Nightmare," Normal Monster  Fiend  1300  900",This fiend passes judgment on enemies that are locked in coffins.
Tripwire Beast," Normal Monster  Thunder  1200  1300",This creature attacks with electromagnetic waves.
